agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,-0.04146765255589753,0.1976999938488007,0.8385999798774719,0.0,,,,,,,,,,,,,,0.0,0.5280840838173583,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.4455313518525622,0.23756299883127213,0.367088,0.4193,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.038141594496,,,,0.08850000053644182,0.0,0.0,0.4959999918937683,,,,,,,,,,,,,,,,,,0.0,-0.142907615485142,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.18167479553321841,0.21681500010192395,0.3,0.0,0.248,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.015413235229263975,,,,,,,,0.9286999702453613,0.37553819798167015,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.071453807732571,0.2,0.14270451523303465,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.09083739775660919,0.28822649717330934,0.13615936951524343,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.04975091577500001,,,,,,,,,,0.0,0.6786999999999999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3814627147683965,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.30359196574485775,0.2,0.354296,0.33935000000000004,0.0,0.2,0.3578,,,,,,,,
4,0,-0.054898808295480016,,,,,,,,,,,,,0.18299999833106997,0.0,0.0,0.6365000009536743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0523243109949485,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.10278892282892499,0.2347699996829033,0.3,0.0,0.324615,0.2,0.3578
0,1,0.11151511688361432,-0.10790000110864635,0.23600000143051147,0.0,,,,,,,,,,,,,,0.0435,0.4455313518525622,0.23756299883127213,0.367088,0.4193,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.7295032119120228,0.21484720912418867,0.45305599999999996,0.5373,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.08410479073919999,,,,0.1964000016450882,0.0,-0.0,0.38069999217987055,,,,,,,,,,,,,,,,,,0.0435,-0.18167479553321841,0.21681500010192395,0.3,0.0,0.248,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.1124699943508852,0.2541310004144907,0.3,0.0,0.43835,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.014212576711335223,,,,,,,,1.0,0.3583141303032722,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.09083739775660919,0.28822649717330934,0.13615936951524343,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.0562349971754426,0.3832264971733093,0.16370499526353083,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,-0.0016522096,,,,,,,,,,0.0,-0.6787000000000001,0.31279999017715454,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.30359196574485775,0.2,0.354296,0.33935000000000004,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5498129626932159,0.2,0.3021626,0.0,0.1564,0.2,0.3578,,,,,,,,
4,1,-0.10500321519648001,,,,,,,,,,,,,-0.16515749849379063,0.0,-0.0,0.36250001192092896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.10278892282892499,0.2347699996829033,0.3,0.0,0.324615,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.008739597644846492,0.2,0.3,0.0,0.50949,0.2,0.3578
0,2,0.15813528178014585,0.15440000593662265,0.5719000101089478,0.0,,,,,,,,,,,,,,0.087,0.7295032119120228,0.21484720912418867,0.45305599999999996,0.5373,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,0.3737623776537459,0.24418321025214698,0.584776,0.82325,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,-0.10869049126829707,,,,0.2558000087738037,0.1956000030040741,0.0,-0.0035000001080334187,,,,,,,,,,,,,,,,,,0.087,-0.1124699943508852,0.2541310004144907,0.3,0.0,0.43835,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.16070001569800202,0.3027330020815134,0.31956,0.0,0.4366,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,2,-0.019586100541136922,,,,,,,,1.0,0.43080261911455486,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.0562349971754426,0.3832264971733093,0.16370499526353083,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.080350007839001,0.47822649717330934,0.11740365070846588,0.2,0.3578,,,,,,,,,,,,,,,,
