agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,0.07427931198813978,0.0,0.9977999925613403,0.0,,,,,,,,,,,,,,0.0,0.5536688859968893,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.4903619145683097,0.2,0.379824,0.4989,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.029356669305600006,,,,0.35069999098777777,0.0,0.0,0.40560001134872437,,,,,,,,,,,,,,,,,,0.0,-0.09345926424781519,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.15482585706203042,0.2666329982876778,0.3,0.0,0.2028,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.011473672529280348,,,,,,,,1.0,0.31614929737011,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.046729632113907585,0.2,0.12013673300064179,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.07741292852101521,0.295,0.13213756597940443,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.2368000000715256,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.41575709278466094,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3410778831642992,0.24499200001358987,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.031388814364728006,,,,,,,,,,,,,0.3801000118255615,0.0,0.0,0.4189000129699707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0009619192781014814,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.07112769472096753,0.2722190022468567,0.3,0.0,0.21363900000000002,0.2,0.3578
0,1,-0.002427693837925027,0.0,0.22589999437332153,0.0,,,,,,,,,,,,,,0.0435,0.4903619145683097,0.2,0.379824,0.4989,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.7320921935205958,0.2,0.47772000000000003,0.61185,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.0435544207104,,,,0.0722000002861023,0.0,-0.0,0.14229999482631683,,,,,,,,,,,,,,,,,,0.0435,-0.15482585706203042,0.2666329982876778,0.3,0.0,0.2028,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.11398789978691798,0.2803509983420372,0.3,0.0,0.27394999999999997,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.013498351338163626,,,,,,,,0.9634000062942505,0.3477304367879064,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.07741292852101521,0.295,0.13213756597940443,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.05699394989345899,0.3865230005979538,0.16531823978883692,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.22810000181198123,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3410778831642992,0.24499200001358987,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5508177677165286,0.2883310003578663,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.077600479668312,,,,,,,,,,,,,0.0066999997943639755,0.0,-0.0,0.39419999718666077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.07112769472096753,0.2722190022468567,0.3,0.0,0.21363900000000002,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.00757444375707953,0.27349200220778586,0.3,0.0,0.414681,0.2,0.3578
